procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0 177128 5086092   5108 324952    0   27   142    59  330    0  0  0 100  0  0  0
 0  4 177128 5086044   5112 325532    0    0     0    80  452  415  0  0 99  1  0  0
 0  0 177128 5084060   5116 325536    0    0     0     4 1188  689  1  1 90  9  0  0
 0  1 177128 5078904   5400 329644    0    0  2884     0 3233 3754  3  2 91  4  0  0
 0  1 177128 5070648   5660 337260    0    0  7868     0  985  524  0  1 87 12  0  0
 4  0 177128 4277452   5660 356548    0    0  1872     0 4067  642 36  5 56  3  0  0
 4  2 177128 3386312   5664 356580    0    0     0    48 4388  400 44  7 49  1  0  0
 4  0 177128 4306676   5668 356584    0    0     0     4 4931  736 45  6 48  0  0  0
 4  0 177128 3972948   5668 356612    0    0     0     0 4950  883 48  4 48  0  0  0
 4  0 177128 2961844   5668 356616    0    0     0     0 4272  308 47  3 50  0  0  0
 5  0 177128 4453732   5668 356624    0    0     0     0 10318  384 43 16 41  0  0  0
 4  0 177128 3699084   5676 356620    0    0     0    20 4502  436 47  4 46  3  0  0
 4  0 177128 2661336   5676 356632    0    0     0     0 4306  325 48  2 50  0  0  0
 4  0 177128 4194072   5676 356640    0    0     0     0 4323  362 48  2 50  0  0  0
 4  0 177128 3145268   5676 356640    0    0     0     0 4361  328 49  2 50  0  0  0
 4  0 177128 4056640   5676 356652    0    0     0     0 4427  428 47  3 49  0  0  0
 4  0 177128 3312052   5684 356644    0    0     0    20 4330  413 49  2 49  0  0  0
 4  0 177128 3116136   5684 356660    0    0     0     0 4373  370 49  2 50  0  0  0
 4  0 177128 4210144   5684 356700    0    0     0     0 5587 2938 49  4 47  0  0  0
 4  0 177128 3319748   5684 356704    0    0     0     0 4328  312 46  4 50  0  0  0
 4  0 177128 3593248   5684 356712    0    0     0     0 4319  378 45  6 50  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 258884 3396848   5692 356712    0 81756     0 81776 4674  487 43  8 50  0  0  0
 3  1 359404 2704072   5692 356724    0 100520     0 100520 3935  471 34  6 50 10  0  0
 3  1 359404 3775516   5692 356732    0    0     0     0 3484  438 34  4 50 12  0  0
 3  1 359404 3069748   5692 356732    0    0     0     0 3472  377 36  2 49 12  0  0
 3  1 359404 2455964   5692 356744    0    0     0     0 3380  396 36  2 60  2  0  0
 3  3 375276 3221448   5696 356740    0 15872     0 15888 3792  426 37  2 60  1  0  0
