 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 177204 5026260   5104 325912    0   28   142    60  330    0  0  0 100  0  0  0
 0  0 177204 5026304   5124 326292    0    0    20     0  751  573  0  0 99  0  0  0
 0  0 177204 5022596   5148 327140    0    0   172    68 1338  670  1  2 98  0  0  0
 2  0 177204 5021240   5148 327152    0    0     4     0 1241  749  1  1 98  0  0  0
 4  0 177204 4167696   5692 356328    0    0 12596     0 5218 1308 44  6 50  1  0  0
 4  0 177204 3166548   5692 358284    0    0     4     0 5834 3485 49  5 47  0  0  0
 4  0 380988 3493772   5692 358288    0 203728     0 203728 4846  658 42  8 49  0  0  0
 3  3 593464 2988696   5696 358292    0 212532     0 212580 5182  977 34 10 45 11  0  0
 2  3 608972 2899220   5700 358300    0 15508     0 15512 10683 1982 30  3 21 46  0  0
 2  2 608972 2975668   5700 358304    0    0     0     0 2791  606 24  2 41 33  0  0
 3  2 609916 3127976   5700 358304    0  944     0   944 2656  513 24  1 49 25  0  0
 2  2 610868 2615220   5708 358316    0  952     0   972 2609  501 24  1 31 43  0  0
 1  3 616448 2831076   5708 358320    0 5580     0  5580 3128  757 21  1 50 28  0  0
 1  3 646756 2580264   5708 358328    0 30216     0 30216 6325 2290 13  4 48 35  0  0
 0  4 682320 2384664   5708 358332    0 35656     0 35656 6276 2178  9  3 50 38  0  0
 0  4 683332 2388628   5708 358340    0 1012     0  1012  846  538  0  0 50 50  0  0
 0  4 687668 2393156   5716 358344    0 4336     0  4356 1851  921  0  1 45 54  0  0
 0  4 694304 2392652   5716 358348    0 6636     0  6636 1866  914  0  1 52 47  0  0
 0  4 700620 2390148   5716 358360    0 6316     0  6316 4658 4820  3  3 47 48  0  0
 0  4 715312 2390148   5716 358364    0 14692     0 14692 3333 1600  0  1 50 48  0  0
 0  4 716788 2389908   5716 358372    0 1476     0  1476  956  545  0  0 50 49  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  4 809860 2389908   5724 358380    0 93072     0 93092 14639 7327  0  6 50 44  0  0
 0  4 957516 2389908   5724 358384    0 147524     0 147524 26541 11057  0  7 52 40  0  0
 5  0 1100344 2389908   5724 358392    0 142924     0 142924 26847 11109  0  8 51 41  0  0
 0  4 1150412 2389908   5868 358396    0 50104   144 50104 10264 4343  0  3 50 47  0  0
 0  4 1157048 2389908   5868 358404    0 6636     0  6636 2435  975  1  1 50 49  0  0
 0  4 1230276 2389908   5876 358408    0 73228     0 73248 12338 5757  0  4 51 45  0  0
 0  4 1283108 2389908   5884 358412    0 52832     8 53220 10819 4556  1  4 50 46  0  0
 0  4 1296476 2389684   5884 358420    0 13368     0 13368 4030 2181  1  1 50 47  0  0
 0  4 1302640 2389684   6152 358424    0 6164   268  6164 2507  972  0  1 53 46  0  0
 0  4 1337196 2389684   6152 358432    0 34556     0 34556 6902 2854  0  3 53 44  0  0
 1  3 835816 2906208   6160 358428    0 138620     0 138664 25394 7850  6 12 44 38  0  0
 6  0 971772 2651248   6164 358448    0 135956     4 136164 26335 7849 13  8 49 30  0  0
 2  3 1042868 2396908   7904 360708    0 71096  4064 71096 14382 6750 16  5 43 35  0  0
 1  3 1201128 2749836   8056 364840    0 158260  1728 158260 24387 9218 14 11 42 33  0  0
 1  3 1226936 2504952   8056 364904    0 25808     0 25808 6100 1658 13  2 49 36  0  0
 2  3 1234612 2847992   8064 364904    0 7676     0  7724 3002  839 12  1 49 37  0  0
 1  3 1236536 2607368   8064 364908    0 1924     0  1928 2126  627 13  1 49 37  0  0
 1  3 1237236 2954776   8064 364916    0  700     0   700 1787  566 13  1 49 37  0  0
 1  3 1238608 2710544   8064 364924    0 1372     0  1372 1995  503 13  1 49 37  0  0
 1  3 1245528 2455584   8064 364932    0 6920     0  6920 2659  729 12  1 49 37  0  0
 1  3 1258964 2806816   8072 364940    0 13436     0 13464 4098 1229 12  2 47 39  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  3 1263508 2570792   8072 364944    0 4544     0  4544 2278  729 12  1 50 37  0  0
 0  4 1265012 2390568   8072 364952    0 1504     0  1504 1669  562  9  1 50 41  0  0
 0  4 1274584 2387800   8072 364960    0 9572     4  9572 3515 1797  1  2 48 49  0  0
 0  4 1283324 2387044   8072 364968    0 8740     0  8740 2721 1248  1  1 49 49  0  0
 1  4 1288636 2386540   8080 364972    0 5312     0  5344 2027  960  0  1 49 49  0  0
 0  4 1349712 2386036   8080 364976    0 61076     0 61076 9961 4683  0  4 51 45  0  0
 0  4 1501140 2384816   8080 364984    0 151428     0 151428 27805 14033  2  9 50 39  0  0
 5  0 1627024 2384316   8080 364988    0 125880     0 125880 22963 9354  0  8 51 41  0  0
 0  4 1773724 2383812   8080 364996    0 146576     0 146576 24106 10427  0  9 52 39  0  0
 0  4 1912332 2383056   8088 365000    0 138736     0 138756 27811 10785  0  8 50 42  0  0
 0  4 1926316 2383056   8088 365004    0 13984     0 13984 3648 1619  0  1 50 49  0  0
 0  4 2064100 2382804   8088 365012    0 137640     0 137640 22716 9836  0  8 52 40  0  0
 2  3 2198456 2382552   8088 365016    0 134828     0 134828 22316 9962  0  8 52 40  0  0
 6  0 2336480 2382552   8088 365024    0 138668     0 138668 23602 9938  0  8 54 38  0  0
 4  0 783248 4025268   8096 365028    0 366764     0 366784 11434 3243 12 22 51 15  0  0
 4  0 176180 3678512   8100 364984    0 32988     4 32988 4780  663 44  7 49  0  0  0
 4  0 176180 2646860   8100 364992    0    0     0     0 4402  409 47  3 49  0  0  0
 4  0 176180 4148780   8100 364996    0    0     0     0 4431  437 48  3 49  0  0  0
 4  0 176180 3091520   8100 365004    0    0     0     0 4352  401 49  2 49  0  0  0
 4  0 176180 3919540   8108 365012    0    0     0    24 4453  505 49  2 49  0  0  0
 4  0 176180 3571748   8108 365024    0    0     0   248 4442  512 48  2 49  0  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0 176180 2542932   8108 365032    0    0     0     0 6145 3472 50  3 46  0  0  0
 4  0 176180 4066328   8108 365040    0    0     0   388 4506  528 48  2 50  0  0  0
 4  0 176180 3012396   8108 365048    0    0     0     0 4408  446 49  2 49  0  0  0
 4  0 176180 4029148   8116 365052    0    0     0    52 4466  484 49  2 49  0  0  0
 4  0 176180 3460356   8116 365056    0    0     0     8 4516  510 49  2 49  0  0  0
 4  0 176180 4215988   8116 365064    0    0     0     0 4339  427 48  2 50  0  0  0
 4  0 176180 3902140   8116 365068    0    0     0     0 4410  459 49  2 49  0  0  0
 4  0 176180 2836928   8116 365076    0    0     0     0 4315  380 49  2 50  0  0  0
 4  0 176180 4401888   8124 365080    0    0     0    28 4384  470 48  2 49  0  0  0
 4  0 176180 3475940   8124 365088    0    0     0     0 4475  532 48  2 49  0  0  0
 4  0 176180 3027904   8124 365092    0    0     0     0 4390  432 49  2 49  0  0  0
 4  0 176180 3946128   8124 365096    0    0     0     0 4374  464 47  3 49  0  0  0
 4  0 176180 2938972   8124 365104    0    0     0     0 4349  402 47  4 49  0  0  0
 4  0 176180 3298840   8132 365108    0    0     0    20 4451  526 45  5 49  0  0  0
 4  0 176180 3232148   8132 365116    0    0     0     0 4418  499 46  4 49  0  0  0
 4  0 176180 3731140   8132 365120    0    0     0     4 6557 4361 50  4 47  0  0  0
 4  0 176180 4020864   8132 365124    0    0     0     0 4376  479 47  3 49  0  0  0
 4  0 176180 2973664   8132 365132    0    0     0     0 4346  446 49  2 49  0  0  0
 4  0 176180 3806120   8140 365136    0    0     0    20 4421  468 48  2 49  0  0  0
 4  0 176180 3448872   8140 365136    0    0     0     0 4404  472 49  2 49  0  0  0
 4  0 176180 3611728   8140 365148    0    0     0     0 4376  453 48  2 49  0  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 176180 3933924   8140 365152    0    0     0     0 4424  466 47  4 49  0  0  0
 5  0 176180 2919888   8140 365156    0    0     0     0 4393  407 47  4 49  0  0  0
 6  0 176180 3904132   8148 365164    0    0     0    20 4432  402 44  6 50  0  0  0
 4  0 176180 3226768   8148 365172    0    0     0     0 4747  775 48  4 48  0  0  0
