 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0 218444 5220484   5244 342384    0   58   143    89  335    0  0  0 99  0  0  0
 4  0 218444 5229880   5248 342664    0    0     4     0  644  555  0  0 99  0  0  0
 0  1 218444 5242220   5532 343672    0    0   440     0 1195  647  1  1 97  1  0  0
 0  1 218444 5258808   5608 343728    0    0   116    60 1341  750  1  1 97  1  0  0
 4  0 218444 4510276   6012 371764    0    0 11280     0 4553  695 38  9 53  1  0  0
 4  0 218444 3786784   6012 371772    0    0     0     0 4354  413 38 12 50  0  0  0
 4  0 218444 3011028   6044 373236    0    0     4   776 6614 3806 44  9 46  0  0  0
 5  0 218444 4674480   6044 373272    0    0     0     0 4892  706 39 13 48  0  0  0
 4  0 218444 3834528   6044 373280    0    0     0     0 5013  799 43  9 48  0  0  0
 4  0 218444 2974832   6044 373284    0    0     0     0 4370  397 43  7 50  0  0  0
 4  0 218444 4619808   6044 373292    0    0     0     0 4387  388 39 12 50  0  0  0
 4  0 218444 3746752   6044 373296    0    0     0     0 4442  468 44  7 49  0  0  0
 4  0 218444 2929100   6052 373300    0    0     0    16 4398  519 43  8 49  0  0  0
 4  0 730984 4074252   6052 373308    0 512380     0 512380 6537  747 32 18 49  0  0  0
 4  0 218444 3908480   6052 373312    0 127620     0 127620 4979  523 39 12 49  0  0  0
 4  0 218444 3108180   6052 373320    0    0     0     0 4379  358 44  7 50  0  0  0
 4  0 218444 4221060   6052 373324    0    0     0     0 4415  433 41 10 50  0  0  0
 4  0 218444 3992060   6060 373328    0    0     0    16 4383  450 42  9 50  0  0  0
 4  0 218444 3089384   6060 373336    0    0     0     0 4341  354 43  8 50  0  0  0
 4  0 218444 4154420   6060 373340    0    0     0     0 4399  381 41 10 49  0  0  0
 4  0 218444 3929884   6192 373348    0    0   132     0 4364  381 42  8 49  0  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 218444 3433500   6192 373356    0    0     0     0 6143 3535 45  9 46  0  0  0
 4  0 218444 4069924   6328 373364    0    0   132    20 4416  465 41 10 49  0  0  0
 4  0 218444 3826484   6328 373372    0    0     0     0 4420  390 42  8 50  0  0  0
 4  0 229356 3217092   6328 373376    0 10856     0 10856 4393  362 41 10 49  0  0  0
 4  0 847820 2737452   6328 373384    0 618472     0 618472 6906  588 28 22 49  0  0  0
 4  0 218444 3679876   6328 373388    0 10672     0 10672 4506  466 40 11 50  0  0  0
 4  0 218444 3777884   6336 373392    0    0     0    20 4292  375 43  8 49  0  0  0
 4  0 218444 3632800   6344 373400    0    0     8   100 4369  386 40 10 49  0  0  0
 4  0 218444 4088784   6344 373404    0    0     0     0 4338  370 41  9 49  0  0  0
 4  0 218444 3836216   6344 373412    0    0     0     0 4334  365 42  8 49  0  0  0
 4  0 218444 3587444   6344 373416    0    0     0     0 4420  404 43  8 49  0  0  0
 4  0 218444 3997196   6352 373424    0    0     0    48 4470  441 42  9 49  0  0  0
 4  0 218444 3732964   6356 373440    0    0     4   216 4375  410 42  8 50  0  0  0
 4  0 218444 3469804   6356 373444    0    0     0     0 4312  390 42  9 49  0  0  0
 4  0 218444 3863144   6356 373452    0    0     0     0 4336  394 42  8 49  0  0  0
 4  0 793104 3699880   6356 373456    0 574628     0 574628 8363 3298 34 19 47  0  0  0
 4  0 218444 4193204   6364 373460    0 65372     0 65400 4859  597 36 14 49  0  0  0
 4  0 218444 3860912   6364 373468    0    0     0     4 4319  401 45  6 49  0  0  0
 4  0 218444 3742536   6364 373472    0    0     0     0 4325  394 43  7 50  0  0  0
 4  0 218444 4746580   6364 373480    0    0     0     0 4348  372 40 11 50  0  0  0
 4  0 218444 3969716   6372 373488    0    0     8     0 4449  613 42  9 48  1  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  1 218444 3733296   7200 377572    0    0  4900    28 5124 1166 42 10 39  8  0  0
 4  0 218444 4139328   7200 377600    0    0    16     0 4626  671 42 10 48  0  0  0
 4  0 218444 3441476   7200 377604    0    0     0     0 4352  420 41 10 49  0  0  0
 4  0 218444 3426672   7200 377612    0    0     0     0 4386  422 44  7 49  0  0  0
 4  0 218444 4105372   7200 377616    0    0     0     0 4353  461 39 11 49  0  0  0
 4  0 218444 3440812   7208 377620    0    0     0    40 4402  445 45  5 49  0  0  0
 4  0 218444 4031360   7208 377628    0    0     0     0 4379  417 43  7 49  0  0  0
 4  0 218444 4523892   7208 377632    0    0     0     0 4387  422 40 11 49  0  0  0
 4  0 218444 3629144   7208 377640    0    0     0     0 4376  370 42  8 49  0  0  0
 4  0 780064 3592420   7208 377644    0 561604     0 561604 8323 3490 34 19 47  0  0  0
 4  0 218444 4739160   7216 377648    0 78396     0 78412 4768  575 36 15 49  0  0  0
 4  1 218444 3846804   7228 377644    0    0    12     4 4385  410 43  8 49  0  0  0
 4  0 218444 3602684   7240 377672    0    0     4    48 4401  422 41  9 49  0  0  0
 4  0 218444 4639368   7240 377680    0    0     0     0 4414  456 40 11 49  0  0  0
 4  0 218444 3770116   7240 377684    0    0     0     0 4332  412 43  7 49  0  0  0
 4  0 218444 4085076   7240 377688    0    0     0     0 4442  435 42  8 49  0  0  0
 4  0 218444 4519204   7240 377696    0    0     0     0 4377  439 41 10 49  0  0  0
 4  0 218444 3633448   7248 377700    0    0     0    56 4338  380 43  7 50  0  0  0
 4  0 218444 3653424   7248 377708    0    0     0     0 4369  413 40 11 49  0  0  0
 4  0 433516 3524792   7248 377712    0 214948     0 214948 5328  760 39 11 49  0  0  0
 4  0 218444 3427792   7248 377720    0 425052     0 425052 6165  813 34 17 49  0  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0 218444 4292444   7248 377728    0    0     0     0 4330  418 42  9 49  0  0  0
 4  0 218444 3702580   7256 377736    0    0     0   136 4420  410 45  5 49  0  0  0
 4  0 218444 3502944   7256 377744    0    0     0     0 4359  442 43  7 49  0  0  0
 4  0 218444 4554608   7256 377748    0    0     0     0 5957 3224 42 10 47  0  0  0
 4  0 218444 3683940   7256 377752    0    0     0     0 4341  440 43  8 49  0  0  0
 4  0 218444 2954580   7256 377760    0    0     0     0 4328  427 40 10 49  0  0  0
 4  0 218444 4124244   7264 377772    0    0     0   252 4344  452 42  9 49  0  0  0
 4  0 218444 3450964   7264 377780    0    0     0     0 4287  377 45  6 49  0  0  0
 4  0 218444 3252156   7264 377784    0    0     0     0 4401  534 42  9 49  0  0  0
 4  0 218444 4363280   7264 377792    0    0     0     0 4304  431 41 10 49  0  0  0
 4  0 218444 3441284   7264 377796    0    0     0     0 4310  385 43  8 49  0  0  0
 4  0 227568 3194668   7272 377800    0 9060     0  9084 4403  421 43  8 49  0  0  0
 3  1 556368 3849404   7272 377808    0 328864     0 328864 5399  601 30 16 49  5  0  0
 3  1 572240 3782444   7272 377812    0 15872     0 15872 3805  568 31  8 49 12  0  0
 3  1 587600 3806000   7272 377820    0 15360     0 15360 3792  594 31  8 49 12  0  0
 3  1 658768 3316188   7272 377824    0 71168     0 71168 4332  639 28 12 49 11  0  0
 3  6 696656 3493272   7276 377824    0 37888     0 37900 3926  515 33  6 41 20  0  0
 3  1 717136 4025468   7280 377828    0 20480     0 20484 6055  796 33  5 41 21  0  0
 3  1 732496 3348648   7280 377836    0 15360     0 15360 5909 4110 35  7 47 12  0  0
 5  0 739092 3313980   7280 377840    0 6172     0  6172 3558  411 32  6 49 12  0  0
 3  1 747856 4015616   7280 377852    0 9188     0  9188 3656  501 30  8 49 12  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  2 763216 3135824   7288 377852    0 15360     0 15376 13734 1403 31  7 29 34  0  0
 3  2 778576 3396884   7288 377860    0 15360     0 15360 3589  454 33  5 50 12  0  0
 3  2 778576 3963492   7288 377868    0    0     0     0 3707  432 31  7 50 12  0  0
 3  2 778576 3279016   7292 377872    0    0     0    16 3479  373 32  6 49 12  0  0
 0  4 793944 3555344   7296 377880    0 15368     0 15388 9314 1419 21  5 23 52  0  0
 0  4 794140 3571844   7296 377884    0  196     0   196  639  439  0  0 50 50  0  0
 0  4 794140 3593724   7296 377888    0    0     0     0 2601 3597  2  2 47 49  0  0
 0  5 794284 3599840   7300 377896    0  144     0   156  681  433  0  0 50 50  0  0
 0  3 218704 5274632   7304 377896    0  112     4   116 1746  710  0  5 47 49  0  0
 0  4 218704 5285860   7308 377904    0    0     4     4 1364  665  1  2 61 37  0  0
