procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 219916 4860416   6180 329920    0   36   143    67  332    0  0  0 100  0  0  0
 1  0 219916 4865656   6180 330588    0    0     0     0 1351  711  1  1 97  0  0  0
 2  0 219916 4872772   6180 330592    0    0     0     0  574  402  0  1 99  0  0  0
 1  0 219916 4889484   6180 330604    0    0     4     0  967  628  1  1 98  0  0  0
 0  1 219916 4905032   6312 330624    0    0   148     0 1123  843  1  1 86 12  0  0
 4  2 219916 4655004   6588 358880    0    0 11368    60 3197 1102 14 11 67  8  0  0
 4  0 219916 3752020   6592 358884    0    0     0     4 5797  822 40 13 43  5  0  0
 4  0 219916 2957876   6592 358888    0    0     0     0 4866  718 39 12 49  0  0  0
 4  0 219916 4549404   6592 358896    0    0     0     0 4415  448 36 14 49  0  0  0
 4  0 219916 3712452   6592 358900    0    0     0     0 4362  364 43  8 50  0  0  0
 4  0 219916 2939952   6592 358908    0    0     0     0 4367  382 44  7 49  0  0  0
 4  0 219916 4493316   6600 358912    0    0     0    16 4712  672 40 13 48  0  0  0
 4  0 219916 3637412   6600 358916    0    0     0     0 4341  336 43  8 50  0  0  0
 4  0 219916 2857756   6600 358924    0    0     0     0 4381  366 43  8 49  0  0  0
 3  1 244496 3959932   6600 358928    0 24580     0 24580 4180  812 36  9 49  6  0  0
 3  1 244496 3272852   6600 358936    0    0     0     0 5875 4649 35  7 51  7  0  0
 3  6 244496 2619692   6604 358936    0    0     0    12 3376  366 32  6  6 56  0  0
 3  3 259856 2890016   6612 358940    0 15360     4 15364 15099 1770 31  7 14 48  0  0
 3  3 259856 2520336   6612 358944    0    0     0     0 3441  377 34  4 37 25  0  0
 3  3 259856 3843020   6612 358936    0    0     0     0 3461  432 30  8 37 25  0  0
 3  3 259856 3196356   6612 358940    0    0     0     0 3472  419 32  6 37 25  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  3 259856 2610128   6612 358948    0    0     0     0 3412  399 32  6 37 25  0  0
 3  5 261392 3809564   6740 358956    0 1536   128  1584 3561  448 30  9 39 23  0  0
 3  5 283920 3127736   6744 358956    0 22528     0 22624 3483  717 32  7 45 16  0  0
 2  6 299284 2834204   6756 358972    0 15364     8 15584 31504 10527 30  6 10 54  0  0
 2  7 299284 2447748   6756 358972    0    0     0     0 2509  385 21  4 25 50  0  0
 2  4 299368 3250360   6904 358976    0   76   140   344 2881  576 20  6 26 48  0  0
 2  2 300124 2833784   6904 358988    0  764     0   924 2854  627 22  4 54 20  0  0
 5  2 303416 2424448   6904 358992    0 3292     0  3292 3092  480 22  4 50 24  0  0
 2  2 310796 3227544   6904 359000    0 7380     0  7380 3359  779 20  6 50 24  0  0
 2  2 337508 2785188   7168 358968    0 26712   264 26712 3998  883 22  5 50 23  0  0
 2  4 341104 2453780   7172 359008    0 3596     0  3616 2742  417 21  4 48 26  0  0
 2  2 342252 2883460   7176 359012    0 1148     0  1152 4735  693 19  6 29 46  0  0
 2  2 342804 2507532   7176 359020    0  552     0   552 4647 3935 22  6 59 12  0  0
 1  3 342928 2845152   7176 359028    0  124     0   124 1746  341 12  4 62 22  0  0
 1  3 343472 2610736   7176 359032    0  544     0   544 1603  384 11  2 62 25  0  0
 1  3 345596 2427976   7184 359040    0 2124     0  2140 1701  365 11  2 56 31  0  0
 1  3 347136 2812672   7184 359044    0 1540     0  1540 1663  387 10  3 62 25  0  0
 1  3 373820 2589108   7184 359048    0 26684     0 26684 3920 1294 11  4 62 23  0  0
 4  0 394572 2409024   7184 359056    0 20712     0 20712 3600  887 11  3 62 24  0  0
 1  3 581700 2812232   7184 359060    0 187168     0 187168 18524 5423 11 10 63 16  0  0
 1  3 650692 2586980   7192 359068    0 68992     0 69008 8448 2450 11  5 63 21  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  3 651868 2398280   7192 359072    0 1176     0  1176 1664  416 11  2 62 25  0  0
 1  3 652796 2797496   7192 359080    0  928     0   928 1763  424 10  3 62 25  0  0
 1  3 653600 2562452   7192 359092    0  804     0   804 1512  329 11  2 62 25  0  0
 1  3 655352 2374968   7192 359096    0 1752     0  1752 1894  624 11  2 62 25  0  0
 1  3 657532 2759968   7200 359104    0 2180     0  2196 1880  465 10  3 61 26  0  0
 2  3 658360 2563736   7200 359108    0  828     0   828 1558  397 11  2 62 25  0  0
 1  3 658644 2898664   7200 359112    0  284     0   284 3961 4379 12  5 59 24  0  0
 1  3 696556 2727460   7200 359120    0 37912     0 37912 4565 1323 11  4 62 23  0  0
 1  3 812640 2543048   7200 359124    0 116084     0 116084 11129 3358 11  7 63 20  0  0
 1  3 823436 2908208   7208 359132    0 10796     0 10812 2529  716 10  3 54 33  0  0
 1  3 826412 2697112   7208 359136    0 2976     0  2976 1815  484 11  2 62 25  0  0
 1  3 832356 2503132   7208 359140    0 5944     0  5944 2114  591 11  3 62 24  0  0
 1  3 838192 2897176   7208 359148    0 5836     0  5836 2225  547 10  3 62 24  0  0
 1  3 838192 2662504   7208 359152    0    0     0     0 1465  364 11  2 62 25  0  0
 1  4 838604 2475460   7220 359172    0  412     4   632 1517  351 11  2 49 38  0  0
 1  3 840024 2828612   7220 359180    0 1420     0  1436 1813  528 10  3 62 25  0  0
 1  3 845892 2603256   7220 359184    0 5868     0  5868 2080  641 11  2 62 24  0  0
 2  3 845892 2414496   7220 359192    0    0     0     0 1388  308 11  2 62 25  0  0
 1  5 845892 2798420   7224 359196    0    0     0    32 1482  364 10  3 61 26  0  0
 1  3 849852 2611744   7228 359204    0 3960     0  3964 7327 4883 11  2 35 51  0  0
 1  3 853616 2417432   7228 359208    0 3764     0  3764 2048  470 11  2 62 24  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  4 860156 2406392   7236 359212    0 6540     0  6556 1645  813  1  1 51 47  0  0
 0  4 991468 2406840   7236 359224    0 131312     0 131312 23263 9560  0  8 52 40  0  0
 1  4 1122192 2409612   7236 359232    0 130724     0 130724 25068 9425  0  8 52 40  0  0
 0  4 1171884 2409540   7236 359240    0 49692     0 49692 9947 3832  0  3 51 46  0  0
 1  4 1188172 2410828   7236 359244    0 16288     0 16288 4571 1522  0  2 52 46  0  0
 0  4 1200272 2413488   7244 359248    0 12100     0 12116 3287 1178  0  1 48 50  0  0
