 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0  28804 5297240   3840 333228    0  107   144   139  340    0  0  0 99  0  0  0
 3  0  28804 5299208   4292 333684    0    0   452     0  517  359  0  0 100  0  0  0
 0  0  28804 5299564   4308 334504    0    0   172     0 1376  651  1  2 98  0  0  0
 3  0  28804 5303072   4316 334516    0    0     4    60 1094  742  0  1 99  0  0  0
 4  0  28804 4387024   4860 363776    0    0 12352     0 4624  733 45  3 52  0  0  0
 4  0  28804 3435492   4860 363784    0    0     0     0 4416  398 48  2 49  0  0  0
 4  0  28804 4872096   4860 365280    0    0     4     0 6069 3499 50  4 46  0  0  0
 4  0  28804 3934948   4860 365316    0    0     0     0 4890  750 49  3 48  0  0  0
 4  0  28804 3371472   4868 365324    0    0     0    48 4851  813 49  3 49  0  0  0
 4  0 350428 3547984   4868 365328    0 321620     0 321620 5703  628 38 12 49  0  0  0
 4  0  28804 3640924   4868 365336    0 318380     0 318380 5755  732 38 13 49  0  0  0
 4  0  28804 4099472   4868 365340    0    0     0     0 4414  459 45  5 49  0  0  0
 4  0  28804 3379720   4868 365344    0    0     0     0 4370  441 49  2 49  0  0  0
 4  0  28804 3257824   4876 365352    0    0     0    16 4403  447 48  3 49  0  0  0
 4  0  28804 3743044   4876 365356    0    0     0     0 4408  423 49  2 49  0  0  0
 4  0  28804 3603252   4876 365364    0    0     0     0 4385  427 49  2 49  0  0  0
 4  0  28804 4085780   4876 365368    0    0     0     0 4455  454 46  5 49  0  0  0
 4  0  28804 3374156   4876 365372    0    0     0     0 4361  398 47  3 50  0  0  0
 4  0  28804 4471248   4884 365380    0    0     0    16 4425  481 47  4 49  0  0  0
 4  0  28804 4170780   4884 365384    0    0     0     0 4427  427 48  2 50  0  0  0
 4  0  28804 3184284   4884 365388    0    0     0     0 4391  419 49  2 49  0  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0 381676 4165600   4884 365400    0 352808     0 352808 7904 4423 43 11 46  0  0  0
 3  1 602760 3455084   4884 365404    0 221148     0 221148 4621  612 35  7 49  8  0  0
 3  6 602760 3311848   4888 365400    0    0     0    12 3661  495 35  3 29 33  0  0
 4  0  28804 4216676   4892 365412    0 66044     0 66048 5297  607 43  7 44  7  0  0
 4  0  28804 3800956   4892 365412    0    0     0     0 4369  397 48  2 50  0  0  0
 4  0  28804 4738116   5036 365280    0    0   144     0 4437  473 48  3 49  0  0  0
 4  0  28804 3797644   5036 365428    0    0     0     0 4343  376 47  4 49  0  0  0
 4  0  28804 3514824   5044 365432    0    0     0   412 4505  530 47  3 49  0  0  0
 4  0  28804 4022188   5044 365440    0    0     0     0 4353  401 44  6 49  0  0  0
 5  0  28804 3360532   5044 365444    0    0     0     0 4479  593 47  3 49  0  0  0
 4  0  28804 3869224   5044 365452    0    0     0     0 4379  423 47  3 49  0  0  0
 4  0 370576 3688396   5316 365452    0 341736   272 341736 5783  586 40 11 49  0  0  0
 4  0  28804 4204216   5332 365456    0 298264     8 298496 5690  686 39 12 49  0  0  0
 4  0  28804 4541488   5332 365480    0    0     0     0 4324  400 46  4 50  0  0  0
 4  0  28804 3601480   5332 365480    0    0     0     0 4401  415 49  2 49  0  0  0
 4  0  28804 3891496   5332 365492    0    0     0     0 5830 3232 50  4 47  0  0  0
 4  0 453516 3704760   5332 365496    0 424644     0 424644 6106  699 39 12 49  0  0  0
 4  0  28804 3495948   5340 365500    0 215356     0 215392 5360  742 40 10 49  0  0  0
 4  0  28804 4384168   5340 365508    0    0     0     0 4428  438 47  4 49  0  0  0
 4  0  28804 3988088   5472 365512    0    0   132     0 4412  415 48  2 49  0  0  0
 4  0  28804 3584360   5472 365524    0    0     0     0 4469  470 49  2 49  0  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0  28804 3832216   5472 365528    0    0     0     0 4380  413 49  2 49  0  0  0
 4  0  28804 3467740   5480 365528    0    0     0    28 4415  400 48  3 50  0  0  0
 4  0  28804 4343848   5480 365544    0    0     0     0 4369  449 47  4 49  0  0  0
 4  0  28804 3397604   5480 365548    0    0     0     0 4373  396 47  3 49  0  0  0
 4  0  28804 3736920   5480 365556    0    0     0     0 4367  400 46  4 50  0  0  0
 4  0  28804 3609628   5480 365560    0    0     0     0 4379  458 49  2 49  0  0  0
 4  0  28804 3465208   5488 365564    0    0     0    16 4448  456 48  3 49  0  0  0
 4  0  28804 4011920   5488 365572    0    0     0     0 4405  437 49  2 49  0  0  0
 4  0  28804 3277512   5488 365572    0    0     0     0 4378  411 49  2 49  0  0  0
 4  0  28804 4237304   5488 365584    0    0     0     0 6018 3563 51  3 46  0  0  0
 4  0  28804 3946444   5488 365588    0    0     0     0 4376  477 49  2 49  0  0  0
 4  0  28804 4143688   5496 365580    0    0     0    16 4506  502 48  3 43  7  0  0
 4  0  28804 3344288   5496 365596    0    0     0     0 4422  436 46  4 49  0  0  0
 4  0  28804 3217756   5496 365604    0    0     0     0 4458  411 47  3 49  0  0  0
 4  0  28804 4303088   5496 365612    0    0     0     0 4452  430 47  4 49  0  0  0
 4  0  28804 3940516   5496 365616    0    0     0     0 4416  410 46  4 49  0  0  0
 4  0  28804 3534452   5504 365620    0    0     0    16 4572  476 47  4 46  4  0  0
 4  0  28804 4099268   5504 365628    0    0     0     0 4361  437 46  4 49  0  0  0
 4  0  28804 3599556   5504 365632    0    0     0     0 4424  443 49  2 49  0  0  0
 4  0  28804 3918304   5504 365644    0    0     0     0 4393  416 49  2 49  0  0  0
 4  0  28804 3788304   5504 365648    0    0     0     0 4418  427 49  1 49  0  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0  28804 4059088   5512 365652    0    0     0    16 4417  442 48  3 49  0  0  0
 5  0  28804 4278188   6488 369908    0    0  5228   224 5342 1210 48  5 37 10  0  0
 4  0  28804 3322524   6628 369988    0    0   200     0 4685  680 48  4 48  1  0  0
 4  0  28804 4185844   6628 369992    0    0     0     0 6225 3839 49  5 46  0  0  0
 4  0  28804 3810692   6628 369996    0    0     0     0 4463  587 45  6 49  0  0  0
 4  0  28804 3492304   6636 369996    0    0     0    36 4414  422 45  6 49  0  0  0
 3  1 142472 3840812   6636 370008    0 113668     0 113668 4593  441 41  6 49  3  0  0
 3  1 142472 3072592   6636 370016    0    0     0     0 3915  776 38  3 48 12  0  0
 2  2 142476 3282764   6636 370024    0    4     0     4 2667  446 26  1 49 23  0  0
 2  2 142476 3302740   6636 370028    0    0     0     0 2596  442 24  2 49 25  0  0
 2  6 143204 3405532   6640 370028    0  728     0   740 2434  396 24  1 40 35  0  0
 2  2 144448 3313416   6644 369972    0 1244     0  1248 6073 1120 25  1 18 56  0  0
 2  2 145828 3536396   6644 369976    0 1380     0  1380 2804  404 24  1 50 25  0  0
 2  2 149788 3061260   6644 369980    0 3960     0  3960 3081  442 24  1 49 25  0  0
 2  2 153892 3165928   6644 369988    0 4104     0  4104 3000  538 25  1 49 25  0  0
 2  2 157984 3300136   6652 369992    0 4092     0  4108 2945  504 24  2 47 27  0  0
 1  3 161064 2810852   6652 370000    0 3080     0  3080 3085  785 23  2 49 26  0  0
 1  3 163672 3147596   6652 370004    0 2608     0  2608 3863 3690 14  2 47 37  0  0
 1  3 216620 2924340   6652 370008    0 52948     0 52948 7084 1707 13  3 61 24  0  0
 1  3 238304 3259836   6652 370020    0 21684     0 21684 4230  990 12  2 62 24  0  0
 1  3 250624 3036492   6660 370024    0 12320     0 12336 3192  759 12  2 62 24  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  3 263272 2773944   6660 370032    0 12648     0 12648 3217  862 13  2 61 23  0  0
 1  3 302960 3154620   6660 370036    0 39688     0 39688 5688 1354 12  3 62 23  0  0
 1  3 313616 2892476   6660 370040    0 10656     0 10656 3199  789 12  2 62 24  0  0
 1  3 333540 3248564   6660 370052    0 19924     0 19924 3441  921 12  2 62 24  0  0
 1  3 340876 3013384   6668 370056    0 7336     0  7352 2620  624 12  1 61 25  0  0
 1  3 352680 2740784   6668 370064    0 11804     0 11804 3627 1192 13  3 60 24  0  0
 1  3 359116 3121268   6668 370068    0 6436     0  6436 2358  583 12  1 62 24  0  0
 1  3 364292 2854776   6668 370072    0 5176     0  5176 2272  549 12  1 62 25  0  0
 0  3 366012 3287464   6668 370032    0 1720     0  1720 1347  511  6  1 68 25  0  0
 0  4 366132 3287644   6676 370028    0  120     0   136  853  489  0  1 39 60  0  0
 1  3 366272 3293164   6676 370040    0  140     0   336  849  624  0  1 62 37  0  0
 0  5 366408 3292876   6676 370044    0  136     0   144 2227 3129  2  1 38 59  0  0
 0  7 366408 3297476   6680 370044    0    0     0    36  587  388  0  0 53 47  0  0
 0  1  29260 5199036   6684 353104    0  456   200   460 1976  992  1  3 63 33  0  0
