procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 274144 5244096   4812 341108    0   82   144   114  338    0  0  0 99  0  0  0
 0  0 274144 5257248   5264 341628    0    0   452     0  578  345  0  0 100  0  0  0
 0  0 274144 5261104   5280 342412    0    0   172     0 1036  572  0  2 98  0  0  0
 1  0 274144 5284092   5288 342424    0    0     4    60 1204  605  1  1 98  0  0  0
 4  0 274144 4459588   5692 370456    0    0 11280     0 4504  622 39  9 52  0  0  0
 4  0 274144 3571900   5692 370464    0    0     0     0 4320  295 42  8 50  0  0  0
 4  0 294112 3970308   5692 370468    0 19968     0 19968 4390  379 41  9 49  0  0  0
 4  0 668384 4034976   5692 370472    0 620032     0 620032 7438 1048 32 20 48  0  0  0
 4  0 274144 3577684   5700 370480    0    0     0    48 4988  748 42 10 48  0  0  0
 4  0 274144 4596884   5700 372040    0    0     4     0 6174 4066 43 10 47  0  0  0
 3  1 341220 3752848   5700 372048    0 67076     0 67076 4468  368 41  9 49  0  0  0
 3  1 350436 3069284   5700 372052    0 9216     0  9216 3630  465 32  6 49 12  0  0
 4  0 434364 4322284   5700 372056    0 83848     0 83848 4213  615 30 10 50 10  0  0
 3  6 446180 3629316   5704 372056    0 11896     0 11908 3608  399 32  6 17 45  0  0
 4  0 896916 3588848   5852 372064    0 450652   144 450656 12827 1457 31 10 16 43  0  0
 4  0 274144 3419336   5984 372068    0 17312   132 17312 4545  467 38 11 49  1  0  0
 5  0 463076 3521172   5992 372076    0 188916     0 188936 16283 2932 26 12 49 12  0  0
 3  2 669668 3113476   6252 372080    0 206608   260 206608 24202 4637 22 12 49 17  0  0
 2  2 774840 3339516   6252 372084    0 105172     0 105172 13835 2599 21  9 49 20  0  0
 2  2 973276 3579924   6252 372092    0 198436     0 198436 22848 4258 21 11 50 17  0  0
 2  2 1142824 3143052   6252 372096    0 169548     0 169548 16297 2999 22 10 50 18  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  2 1348796 3363788   6260 372108    0 205972     0 205988 23215 4152 21 12 50 17  0  0
 4  0 274144 4122812   6260 372112    0 205348     0 205348 9126 4003 31 21 47  1  0  0
 4  0 274144 3461116   6260 372116    0    0     0     0 4288  327 45  6 50  0  0  0
 4  0 274144 3436296   6260 372124    0    0     0     0 4317  357 44  7 50  0  0  0
 4  0 274144 4629320   6260 372128    0    0     0     0 4389  348 38 13 49  0  0  0
 4  0 274144 3805284   6272 372132    0    0     4   604 4479  495 41  9 50  0  0  0
 4  0 274144 3612480   6272 372140    0    0     0     0 4429  434 40 11 49  0  0  0
 4  0 274144 4653152   6272 372144    0    0     0     0 4332  350 39 11 50  0  0  0
