procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 216768 4918144   4428 326480    0   54   143    85  334    0  0  0 100  0  0  0
 0  0 216768 4914688   4608 327236    0    0   524     0 1246  726  1  1 96  2  0  0
 0  0 216768 4913028   4608 327848    0    0     0     0 1316  691  1  1 98  0  0  0
 2  0 216768 4913116   4616 327856    0    0     4    60  673  420  0  0 99  0  0  0
 4  0 216768 2393492   5160 357140    0    0 12668     0 4711  859 35 13 53  0  0  0
 4  0 359864 3249744   5160 357148    0 142916     0 142916 5025  644 46  5 49  0  0  0
 3  1 552132 2308432   5160 357148    0 192448     0 192448 6310  978 34 11 47  8  0  0
 3  1 567492 2841572   5160 357140    0 15360     0 15360 4343  987 36  4 49 12  0  0
 3  7 567492 3281820   5164 358696    0    0     4    44 5142 3221 38  2 16 44  0  0
 1  3 619620 2290100   5168 358704    0 52128     4 52132 14786 4387 21  3 27 48  0  0
 1  3 627508 2499588   5168 358712    0 7888     0  7888 2658  768 12  2 49 37  0  0
 1  5 627508 2293024   5172 358720    0    0     0    12 1482  427 13  1 48 39  0  0
 1  3 628568 2348068   5176 358724    0 1060     0  1064 2980  754 12  1 34 53  0  0
 1  3 628996 2300996   5176 358728    0  428     0   428 1615  471 13  1 50 37  0  0
 1  3 630816 2303044   5176 358736    0 1820     0  1820 1729  472 12  2 61 26  0  0
 1  3 632520 2562388   5184 358732    0 1704     0  1720 1879  497 12  1 61 26  0  0
 1  3 633508 2303180   5184 358748    0  988     0   988 1630  432 12  1 62 25  0  0
 1  3 639732 2302832   5184 358752    0 6224     0  6224 2166  584 12  2 62 24  0  0
 1  3 639972 2594180   5184 358756    0  240     0   240 1543  481 11  3 62 25  0  0
 1  3 639972 2259028   5184 358760    0    0     0     0 1473  434 11  3 62 25  0  0
 1  4 639972 2273408   5188 358764    0    0     0    12 1488  450 11  2 59 28  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  3 640188 2258876   5324 358632    0  216   132   220 7288 4666 12  1 31 56  0  0
 1  7 641404 2258584   5328 358784    0 1216     0  1340 1521  683 13  1 50 37  0  0
 2  3 731428 2268824   5332 358788    0 90024     0 90308 14919 5623 12  2 34 52  0  0
 3  3 853512 2350744   5348 358804    0 122084     8 122256 17254 4236 12  6 62 20  0  0
 1  3 854168 2823832   5348 358808    0  656     0   656 1660  451 13  1 62 25  0  0
 1  3 886864 2268572   5348 358816    0 32696     0 32696 5307 1474 12  2 62 23  0  0
 1  3 903084 2296740   5348 358820    0 16220     0 16220 3490  921 12  2 62 24  0  0
