 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 281488 5265204   5532 342044    0   86   144   118  338    0  0  0 99  0  0  0
 0  0 281488 5281440   5552 342660    0    0    20     0  487  317  0  0 100  0  0  0
 0  0 281488 5305556   5556 342664    0    0     4     0  538  369  0  0 99  0  0  0
 1  0 281488 5317880   5564 342672    0    0     4    56 1279  664  1  1 98  0  0  0
 4  0 281488 4582500   5968 370624    0    0 11284     0 4938  894 40  8 51  0  0  0
 7  0 281488 3702192   5968 372260    0    0     4     0 5034 1407 44  8 48  0  0  0
 4  0 281488 3060116   5968 372264    0    0     0     0 5424 2447 43  9 49  0  0  0
 4  0 281488 4472704   5968 372268    0    0     0     0 4409  467 40 11 49  0  0  0
 4  0 281488 3595312   5976 372284    0    0     0    44 4878  691 44  8 48  0  0  0
 4  0 281488 2847168   5976 372296    0    0     0     0 4820  795 43  9 49  0  0  0
 4  0 281488 4413476   5976 372304    0    0     0     0 4452  430 40 10 49  0  0  0
 4  0 281488 3520124   5976 372308    0    0     0     0 4283  359 44  7 50  0  0  0
 4  0 281488 4158228   5976 372312    0    0     0     0 4356  396 41  9 49  0  0  0
 4  0 281488 4305152   5984 372312    0    0     0    16 4412  442 42  9 49  0  0  0
 4  0 281488 3400080   6116 372324    0    0   132     0 4318  343 43  8 49  0  0  0
 4  0 382216 3949860   6116 372332    0 100656     0 100656 4776  478 38 13 49  0  0  0
 3  1 617364 3443364   6116 372336    0 235220     0 235220 5011  629 33 10 49  8  0  0
 3  1 639892 2989324   6116 372340    0 22528     0 22528 3807  501 34  4 50 12  0  0
 2  2 772192 3805744   6124 372348    0 132300     0 132320 4893  796 29 10 46 15  0  0
 2  2 789884 3348872   6124 372352    0 17692     0 17692 4640  812 22  4 49 24  0  0
 5  2 844172 2925068   6124 372364    0 54288     0 54288 8943 2870 23  7 48 23  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  2 995044 3724176   6124 372368    0 150872     0 150872 15549 5037 21 11 49 18  0  0
 2  2 1093592 3270708   6124 372372    0 98548     0 98548 14517 2436 22  7 50 21  0  0
 3  1 587668 3384888   6132 372380    0 134076     0 134092 5264  899 24 10 48 18  0  0
 3  1 724572 3097508   6132 372384    0 136904     0 136904 9827 1654 22 11 50 18  0  0
 2  2 730356 2891268   6132 372392    0 5784     0  5784 3100  505 23  2 50 25  0  0
 2  3 731028 3870844   6132 372396    0  672     0   972 2700  544 22  4 50 25  0  0
 2  2 732716 3427992   6132 372400    0 1688     0  1876 2831  483 22  4 50 25  0  0
 2  7 733068 2977036   6136 372396    0  352     0   372 2376  296 21  4 36 39  0  0
 2  2 733488 3649868   6140 372408    0  420     0   424 3110  495 20  5 44 31  0  0
 2  2 733488 3197552   6140 372412    0    0     0     0 2423  391 22  4 50 25  0  0
 2  2 735760 3354408   6140 372420    0 2272     0  2280 2737  414 21  5 50 25  0  0
 2  4 737240 3586488   6156 372428    0 1480    12  1800 2776  485 20  5 50 25  0  0
 2  2 779592 3104888   6160 372440    0 42352     0 42356 7086 1359 22  5 49 24  0  0
 3  1 978460 3799172   6160 372448    0 198840     0 198840 25027 4621 21 12 49 17  0  0
 2  2 1083364 3493656   6160 372452    0 104932     0 104932 16839 5822 24  9 47 21  0  0
 2  2 1093448 3034256   6160 372460    0 10084     0 10084 3602  521 22  4 50 24  0  0
 3  3 717716 4444744   6164 372460    0 264268     0 264292 12800 2260 23 16 48 13  0  0
 4  1 784276 3617480   6168 372468    0 66560     0 66564 4891  646 32  7 46 15  0  0
 3  1 799636 2995332   6168 372476    0 15360     0 15360 3800  506 32  6 50 12  0  0
 3  1 799636 4170028   6168 372480    0    0     0     0 3565  486 30  8 50 12  0  0
 3  1 799636 3497616   6168 372492    0    0     0     0 3552  396 32  6 50 12  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 824500 3335532   6176 372488    0 24788     0 24804 3719  443 32  7 46 15  0  0
 4  0 281488 4630052   6176 372504    0 97064     0 97064 4817  613 36 14 50  1  0  0
 4  0 281488 3723964   6176 372512    0    0     0     0 4416  532 43  7 50  0  0  0
 4  0 281488 3518768   6176 372516    0    0     0     0 4290  374 42  8 50  0  0  0
 4  0 281488 4672580   6436 372524    0    0   260     0 4421  405 40 10 50  0  0  0
 4  0 281488 3810060   6444 372520    0    0     0    16 4402  391 43  8 49  0  0  0
 4  0 281488 3549488   6444 372532    0    0     0     0 4317  402 42  8 49  0  0  0
 4  0 281488 4635920   6444 372540    0    0     0     0 4472  424 41 10 49  0  0  0
 4  0 281488 3749640   6444 372544    0    0     0     0 6437 3855 45  9 46  0  0  0
 4  0 281488 3548916   6444 372552    0    0     0     0 4354  377 42  8 49  0  0  0
 4  0 367504 4017704   6452 372548    0 85952     0 85968 4742  453 40 11 49  0  0  0
 4  0 618896 3605156   6452 372560    0 554048     0 554048 6653  588 33 18 49  0  0  0
 4  0 281488 4186816   6452 372568    0    0     0     0 4353  424 39 12 49  0  0  0
 4  0 281488 4306312   6452 372572    0    0     0     0 4427  495 41  9 49  0  0  0
 4  0 281488 3438760   6452 372580    0    0     0     0 4382  378 42  9 49  0  0  0
 4  0 806700 3881120   6460 372576    0 525140     0 525156 6487  582 32 19 49  0  0  0
 4  0 281488 4475316   6460 372588    0 114860     0 114860 5715  587 38 13 49  0  0  0
 4  0 281488 3585896   6460 372596    0    0     0    24 4315  341 43  8 50  0  0  0
 4  0 377780 4021848   6460 372600    0 96208     0 96208 4748  466 40 11 49  0  0  0
 4  0 361400 4526636   6460 372612    0 543792     0 543792 6704  650 32 19 49  0  0  0
 4  0 281488 3708452   6468 372608    0    0     0    16 4413  411 43  8 50  0  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 281488 4120180   6468 372628    0    0     0   200 4355  438 40 11 49  0  0  0
 4  0 281488 4532092   6468 372636    0    0     0     0 4386  406 40 10 50  0  0  0
 4  0 281488 3656376   6468 372644    0    0     0     0 6007 3513 44  9 47  0  0  0
 4  0 281488 3586528   6468 372652    0    0     0     0 4332  395 41 10 50  0  0  0
 4  0 281488 4493856   6476 372648    0    0     0    28 4436  423 42  9 49  0  0  0
 4  0 281488 3560624   6476 372660    0    0     0     0 4395  423 43  8 49  0  0  0
 4  0 281488 4325944   6476 372668    0    0     0     0 4441  420 40 11 49  0  0  0
 4  0 281488 3970420   6476 372672    0    0     0     0 4363  439 42  9 49  0  0  0
 4  0 281488 3289856   6476 372680    0    0     0     0 4351  352 44  6 50  0  0  0
 4  0 281488 4444160   6484 372676    0    0     0    16 4362  434 42  9 49  0  0  0
 4  0 281488 4225632   6484 372692    0    0     0     0 4561  424 42  8 50  0  0  0
 4  0 281488 3285176   6484 372696    0    0     0     0 4342  355 43  7 49  0  0  0
 4  0 281488 3782028   6484 372700    0    0     0     0 4354  394 38 13 49  0  0  0
 4  0 799320 3277964   6484 372708    0 517764     0 517764 6414  556 36 15 49  0  0  0
 4  0 281488 3916512   6492 372704    0 122236     0 122252 5029  531 40 11 49  0  0  0
 4  0 281488 4410572   6492 372720    0    0     0     0 4415  457 42  9 49  0  0  0
 4  0 281488 3499332   6492 372724    0    0     0     0 4364  346 44  7 49  0  0  0
 4  0 281488 4464640   6492 372728    0    0     0     0 5908 3406 43 11 47  0  0  0
 4  0 281488 4266904   6492 372740    0    0     0     0 4425  407 43  8 49  0  0  0
 4  0 281488 3929724   6500 372736    0    0     0    16 4402  414 42  8 50  0  0  0
 4  0 281488 4029996   6500 372752    0    0     0     0 4439  452 39 11 50  0  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 281488 3763348   6500 372756    0    0     0     0 4390  397 42  9 50  0  0  0
 4  0 281488 3698604   6500 372760    0    0     0     0 4351  382 44  6 49  0  0  0
 4  0 281488 4864220   6500 372772    0    0     0     0 4326  392 40 10 49  0  0  0
 4  0 281488 4017588   6508 372768    0    0     0    20 4307  342 42  8 50  0  0  0
 4  0 281488 3802768   6508 372784    0    0     0     0 4354  424 42  9 49  0  0  0
 4  0 281488 4807820   6508 372788    0    0     0     0 4406  398 40 11 50  0  0  0
 4  0 281488 3947072   6508 372788    0    0     0     0 4352  394 43  7 50  0  0  0
 4  0 281488 3665244   6508 372800    0    0     0     0 4402  354 43  8 49  0  0  0
 4  0 281488 4699880   6516 372796    0    0     0    16 4388  418 41 10 49  0  0  0
