procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 171624 4901660   4768 330016    0    9   144    41  327    0  0  0 100  0  0  0
 0  0 171624 4901492   4912 330396    0    0   144     0  592  450  0  0 100  0  0  0
 0  0 171624 4899332   4912 331840    0    0     4     0 2273 3515  2  1 97  0  0  0
 1  0 171624 4894268   4920 332008    0    0     0    76 1676  913  1  2 97  0  0  0
 4  0 171624 4032856   5464 361244    0    0 12304     0 5041 1117 41  7 51  0  0  0
 4  0 171624 3266424   5464 361252    0    0     0     0 4407  492 37 13 50  0  0  0
 4  0 171624 2582344   5464 361256    0    0     0     0 4404  430 35 16 49  0  0  0
 4  0 171624 4150444   5464 361260    0    0     0     0 4397  447 44  6 49  0  0  0
 5  0 171624 3150896   5472 361268    0    0     0    48 5173  938 49  4 47  0  0  0
 4  0 171624 3959680   5472 361272    0    0     0     0 4960  877 47  4 48  0  0  0
 4  0 171624 3251072   5472 361280    0    0     0     0 4405  423 49  2 49  0  0  0
 4  0 171624 2464640   5472 361284    0    0     0     0 4465  616 49  2 49  0  0  0
 4  0 171624 3624984   5472 361288    0    0     0     0 4404  428 46  4 50  0  0  0
 4  0 171624 2874464   5748 361296    0    0   268    24 4423  459 48  3 49  0  0  0
 4  0 171624 3950812   5772 361300    0    0     0   368 4629  583 47  3 49  0  0  0
 4  0 171624 3636432   5772 361308    0    0     0     0 4402  482 47  3 49  0  0  0
 4  0 171624 2608600   6352 363736    0    0  2992    32 4896  756 49  3 48  1  0  0
 4  0 171624 3739272   6352 363740    0    0     0     0 6241 3586 50  4 47  0  0  0
 4  0 171624 3060964   6352 363748    0    0     0     0 4430  433 49  2 49  0  0  0
 4  0 171624 3532420   6352 363752    0    0     0     0 4457  542 49  2 49  0  0  0
 4  0 171624 3803936   6352 363760    0    0     0     0 4445  459 46  5 49  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 171624 2876240   6360 363756    0    0     0    36 4446  424 46  5 50  0  0  0
 4  0 380484 2618200   6360 363768    0 208788     0 208788 5315  568 43  9 49  0  0  0
 4  0 171624 3901704   6360 363776    0 431212     0 431212 6190  732 37 13 49  0  0  0
 4  0 171624 3503892   6360 363784    0    0     0     0 4391  510 49  2 49  0  0  0
 4  0 171624 3729944   6360 363792    0    0     0     0 4446  521 48  3 49  0  0  0
 5  0 171624 3387928   6360 363796    0    0     0     0 4354  431 49  2 49  0  0  0
 4  0 171624 3584284   6368 363800    0    0     0    20 4392  446 48  2 49  0  0  0
 4  0 171624 3833388   6368 363808    0    0     0   300 4446  467 48  2 49  0  0  0
 4  0 171624 3444016   6368 363812    0    0     0     0 4471  489 48  3 49  0  0  0
 4  0 171624 3155248   6368 363820    0    0     0     0 4395  420 47  3 49  0  0  0
 4  0 171624 3009840   6368 363824    0    0     0     0 4413  414 49  2 49  0  0  0
 4  0 171624 2881488   6376 363832    0    0     0    20 6176 3679 50  4 47  0  0  0
 4  0 171624 3476272   6380 363836    0    0     4   216 4407  456 49  2 49  0  0  0
 4  0 171624 3339844   6380 363852    0    0     0     0 4398  435 49  2 49  0  0  0
 4  0 171624 3684700   6380 363860    0    0     0     0 4416  478 49  2 49  0  0  0
 4  0 171624 3267560   6380 363864    0    0     0     0 4378  414 47  3 49  0  0  0
 5  0 171624 3554864   6388 363868    0    0     0    36 4410  422 47  4 49  0  0  0
 4  0 171624 3306904   6388 363876    0    0     0     0 4411  435 46  5 49  0  0  0
 4  0 171624 3538356   6388 363880    0    0     0     4 4410  478 46  4 49  0  0  0
 4  0 171624 3478280   6388 363888    0    0     0     0 4453  473 47  4 49  0  0  0
 4  0 171624 3718768   6388 363892    0    0     0     0 4398  402 48  2 49  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 171624 3274628   6396 363896    0    0     0    28 4437  421 48  2 49  0  0  0
 4  0 171624 4121660   6396 363908    0    0     0     0 4471  498 47  4 49  0  0  0
 4  0 171624 3174788   6396 363912    0    0     0     0 4413  436 47  3 49  0  0  0
 4  0 171624 2911072   6396 363920    0    0     0     0 4492  507 46  5 49  0  0  0
 4  0 638272 3041184   6396 363924    0 466472     0 466472 6419  899 39 12 49  0  0  0
 4  0 171624 3012748   6404 363928    0 173528     0 173556 7466 4178 44 10 46  0  0  0
 4  0 171624 3319564   6404 363940    0    0     0     0 4396  455 47  4 49  0  0  0
 4  0 171624 3635152   6404 363944    0    0     0     0 4440  488 47  3 49  0  0  0
 4  1 171624 3811280   6536 363820    0    0   132     0 4418  487 49  2 49  0  0  0
 4  0 171624 3462332   6536 363956    0    0     0     0 4375  413 49  2 49  1  0  0
 4  0 171624 3113600   6544 363960    0    0     0    40 4373  430 48  2 50  0  0  0
 4  0 171624 3358580   6544 363968    0    0     0     0 4436  446 49  2 49  0  0  0
 4  0 171624 3602828   6544 363972    0    0     0     0 4415  447 48  2 50  0  0  0
 4  0 171624 3821712   6544 363980    0    0     0     0 4432  514 48  2 49  0  0  0
 4  0 171624 3458964   6544 363984    0    0     0     0 4365  423 48  2 49  0  0  0
 4  0 171624 3115444   6552 363988    0    0     0    20 4394  383 48  2 50  0  0  0
 4  0 171624 3380324   6552 363996    0    0     0     0 4474  460 48  2 49  0  0  0
 4  0 171624 3622256   6552 364000    0    0     0     0 4399  444 48  2 50  0  0  0
 4  0 171624 3815256   6552 364008    0    0     0     0 4357  454 49  2 49  0  0  0
