 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 239208 4820508   4080 336144    0   15   144    47  329    0  0  0 100  0  0  0
 5  0 239208 4820444   4392 336448    0    0   312     0  806  626  1  0 99  0  0  0
 0  0 239208 4818976   4408 336680    0    0   172     0 1331  691  1  1 98  0  0  0
 1  1 239208 4818708   4552 336580    0    0   156    76 1192  718  1  1 98  0  0  0
 5  0 239208 2516716   5092 365680    0    0 12328     0 6718 1235 38 13 49  0  0  0
 4  0 239208 2522340   5092 365688    0    0     0     0 5155  414 50  2 48  0  0  0
 4  0 239208 2522340   5092 365692    0    0     0     0 4408  448 50  0 49  0  0  0
 4  0 239208 2521604   5092 365696    0    0     0     0 4903  726 51  2 48  0  0  0
 4  0 239208 2520836   5100 365704    0    0     0    48 4941  820 51  1 48  0  0  0
 4  0 239208 2520584   5100 365708    0    0     0     0 4405  421 50  0 49  0  0  0
 5  0 239208 2520344   5100 365956    0    0     4     0 4562  791 50  1 49  0  0  0
 4  0 239208 2520104   5100 366236    0    0     0     0 5796 2882 52  1 47  0  0  0
 4  0 239208 2520104   5100 366240    0    0     0     0 4381  441 50  0 49  0  0  0
 4  0 239208 2519852   5108 366248    0    0     0    20 4370  433 50  0 49  0  0  0
 4  0 239208 2519852   5108 366252    0    0     0     0 4428  419 50  1 49  0  0  0
 4  0 239208 2519852   5108 366260    0    0     0     0 4360  369 50  0 49  0  0  0
 4  0 239208 2519600   5108 366264    0    0     0     0 4471  458 50  1 49  0  0  0
 4  0 239208 2519600   5108 366268    0    0     0     0 4419  462 50  0 49  0  0  0
 4  0 239208 2519600   5116 366268    0    0     0    20 4420  457 50  0 49  0  0  0
 4  0 239208 2519348   5248 366144    0    0   128     0 4402  412 50  0 49  0  0  0
 4  0 239208 2519348   5248 366288    0    0     0     0 4391  376 50  0 49  0  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 239208 2519096   5248 366296    0    0     0     0 4375  399 50  1 49  0  0  0
 4  0 239208 2519096   5248 366300    0    0     0     0 4382  442 50  0 49  0  0  0
 4  0 239208 2519096   5256 366300    0    0     0    24 4413  430 50  0 49  0  0  0
 4  0 239208 2518844   5560 366316    0    0   312     0 4450  472 50  0 49  0  0  0
 5  0 239208 2518592   5560 366328    0    0     0     0 4625  743 51  1 49  0  0  0
 4  0 239208 2518140   5560 366328    0    0     0     0 5519 2741 52  1 47  0  0  0
 4  0 239208 2518116   5560 366336    0    0     0     0 4423  429 50  0 49  0  0  0
 4  0 239208 2518116   5568 366344    0    0     0   404 4539  510 50  0 49  0  0  0
 4  0 239208 2517884   5568 366344    0    0     0     0 4381  405 50  0 49  0  0  0
 4  0 239208 2517616   5568 366356    0    0     0     0 4332  363 50  1 49  0  0  0
 4  0 239208 2517388   5568 366356    0    0     0     0 4374  441 50  0 49  0  0  0
 4  0 239208 2517112   5568 366368    0    0     0     0 4409  421 50  0 49  0  0  0
 4  0 239208 2516860   5580 366372    0    0     4   236 4379  416 50  0 49  0  0  0
 4  0 239208 2516608   5580 366388    0    0     0     0 4354  416 50  0 49  0  0  0
 4  0 239208 2516108   5580 366396    0    0     0     0 4362  389 50  0 49  0  0  0
 4  0 239208 2515856   5580 366400    0    0     0     0 4331  397 50  0 49  0  0  0
 4  0 239208 2515628   5580 366400    0    0     0     0 4352  437 50  0 49  0  0  0
 4  0 239208 2515352   5588 366412    0    0     0    40 4433  438 50  0 49  0  0  0
 4  0 239208 2515352   5588 366416    0    0     0     0 4475  435 50  0 49  0  0  0
 5  0 239208 2515352   5588 366420    0    0     0     0 4754 1032 51  1 49  0  0  0
 4  0 239208 2513840   5588 366428    0    0     0     0 6365 3743 52  1 47  0  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 239208 2513840   5588 366428    0    0     0     0 4406  444 50  0 49  0  0  0
 4  0 239208 2513840   5596 366448    0    0     0    28 4370  421 50  0 49  0  0  0
