procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 188008 4709060   5504 329748    0   10   144    42  328    0  0  0 100  0  0  0
 0  0 188008 4718532   5508 330024    0    0     4     0  732  545  0  0 99  0  0  0
 1  0 188008 4739520   5516 330028    0    0     0    80  756  498  1  1 99  0  0  0
 0  1 188008 4745616   6144 334084    0    0  4676     0 1720 1076  1  2 88 10  0  0
 1  0 188008 4767728   6548 344344    0    0 10744     0 1736 1181  1  2 86 12  0  0
 1  0 188008 4192648   6548 920156    0    0   412     0 1616  529  0 13 87  0  0  0
 1  0 188008 3749220   6548 1376180    0    0     0     0 1485  426  0 13 87  0  0  0
 7  0 188008 3117628   6556 1393776    0    0    84    56 6505 5391 32 42 26  0  0  0
 6  0 188008 2658384   6556 1393772    0    0     0     0 6460  612 68  7 24  0  0  0
 6  0 188008 2492496   6556 1393776    0    0     0     0 6488  647 72  5 24  0  0  0
 6  0 188008 2320140   6556 1393784    0    0     0     0 6295  401 72  4 25  0  0  0
 6  0 188008 3450424   6556 1393788    0    0     0     0 6315  417 69  7 24  0  0  0
 8  0 188008 3061428   6556 1393792    0    0     0     0 6431  466 72  5 24  0  0  0
 6  0 188008 2668256   6564 1393800    0    0     0    20 4632  882 47  5 48  0  0  0
 6  0 188008 2947820   6564 1393820    0    0     0     0 5979 4879 35  7 58  0  0  0
 6  0 188008 3301672   6564 1393828    0    0     0     0 3415  750 33  5 62  0  0  0
 6  0 188008 2938220   6564 1393832    0    0     0     0 3415  749 34  4 62  0  0  0
 6  0 188008 2505228   6564 1393836    0    0     0     0 3441  768 34  5 62  0  0  0
 6  0 188008 3524244   6572 1393844    0    0     0    20 3446  813 32  6 62  0  0  0
 6  0 188008 3114412   6572 1393848    0    0     0     0 3369  725 34  4 62  0  0  0
 6  0 188008 2742476   6572 1393856    0    0     0     0 3368  713 34  4 62  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0 188008 2994080   6572 1393860    0    0     0     0 3405  727 33  5 62  0  0  0
 6  0 188008 3362172   6572 1393864    0    0     0     0 3420  753 33  5 62  0  0  0
 6  0 188008 2994276   6580 1393872    0    0     0    20 3426  786 34  4 62  0  0  0
 6  0 188008 2549920   6580 1393880    0    0     0     0 3381  676 34  4 62  0  0  0
 6  0 188008 3530952   6580 1393888    0    0     0     0 3417  767 32  6 62  0  0  0
 6  0 188008 2680112   6580 1393892    0    0     0     0 3405  739 32  7 62  0  0  0
 6  0 188008 2457384   6580 1393896    0    0     0     0 3402  746 36  2 62  0  0  0
 6  0 188008 2234068   6592 1393904    0    0     4   572 3525  948 36  2 62  0  0  0
 6  0 188008 3359168   6592 1393908    0    0     0     0 5188 3668 34  7 59  0  0  0
 6  0 188008 2971436   6592 1393916    0    0     0     0 3436  758 34  4 62  0  0  0
 6  0 188008 2528084   6592 1393920    0    0     0     0 3421  752 34  4 62  0  0  0
 6  0 188008 3566892   6592 1393928    0    0     0     0 3485  762 32  6 62  0  0  0
 6  0 188008 3168464   6608 1393944    0    0     8   252 3464  823 34  4 62  0  0  0
 6  0 188008 2795212   6608 1393948    0    0     0     0 3501  742 34  4 61  0  0  0
 6  0 188008 2362648   6608 1393956    0    0     0     0 3464  763 33  5 62  0  0  0
 6  0 188008 3427756   6608 1393960    0    0     0     0 3458  741 32  6 62  0  0  0
 6  0 188008 3049696   6608 1393964    0    0     0     0 3411  740 34  4 62  0  0  0
