 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 239208 4681176   4648 332828    0   15   144    47  329    0  0  0 100  0  0  0
 0  0 239208 4686460   5376 333288    0    0   728     0 1827 1180  4  1 95  1  0  0
 0  0 239208 4702288   5852 337368    0    0  4508    80 1858 1177  2  2 94  2  0  0
 1  0 239208 4708776   5852 337376    0    0     0     0  751  563  1  0 99  0  0  0
 4  0 239208 2475556   6256 365416    0    0 11288     0 4717  912 24 24 52  0  0  0
 5  0 239208 3820044   6256 365424    0    0     0     0 5208 1350 37 16 47  0  0  0
 4  0 239208 2163276   6256 365428    0    0     0     0 4899  775 35 16 49  0  0  0
 4  0 239208 3021100   6256 365432    0    0     0     0 4389  520 29 22 49  0  0  0
 4  0 239208 3192292   6264 365440    0    0     0    48 4429  519 33 17 49  0  0  0
 4  0 239208 2557004   6264 365444    0    0     0     0 4461  491 29 22 49  0  0  0
 4  0 239208 3271980   6264 365452    0    0     0     0 4810  703 33 19 48  0  0  0
 4  0 239208 3285132   6264 366868    0    0     4     0 6755 4321 37 18 45  0  0  0
 4  0 239208 2759608   6264 366872    0    0     0     0 4479  514 35 16 49  0  0  0
 4  0 239208 2655408   6272 366880    0    0     0    20 4718  780 33 18 49  0  0  0
 4  0 806188 2869932   6272 366884    0 566924     0 566924 5744  877 30 21 49  0  0  0
 4  0 239208 2411408   6272 366892    0 73076     0 73076 5407  626 31 20 49  0  0  0
 4  0 239208 2834448   6272 366896    0    0     0     0 4480  455 32 19 49  0  0  0
 4  0 548532 2321564   6272 366900    0 309252     0 309252 5723  778 35 16 49  0  0  0
 4  1 827500 2825288   6280 366908    0 279040     0 279060 5449  931 24 20 39 17  0  0
 4  0 239208 3090112   6280 366912    0 51708     0 51708 4758  683 31 19 50  1  0  0
 4  0 239208 2397740   6412 366920    0    0   128     0 4391  435 36 15 49  1  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 239208 2834988   6412 366924    0    0     0     0 4383  464 31 19 50  0  0  0
 4  0 534124 2877368   6412 366932    0 294840     0 294840 5671  676 33 18 49  0  0  0
 2  2 856968 2072012   6420 366940    0 322920     0 322944 20118 3692 22 16 49 13  0  0
 2  2 1009312 2173012   6420 366944    0 152292     0 152292 18441 3675 16 16 49 19  0  0
 2  2 771580 2631664   6420 366952    0 402320     0 402320 15400 2764 20 22 49  9  0  0
 2  2 955840 2094164   6420 366956    0 184260     0 184260 23388 7522 15 21 47 17  0  0
 4  0 662220 3072420   6420 366960    0 346376     0 346376 12622 2223 24 16 49 11  0  0
 4  0 239208 2569724   6432 366968    0 216992     4 217608 5942  919 28 22 49  0  0  0
 3  1 552556 2649900   6432 366972    0 313348     0 313348 5460  667 27 20 49  4  0  0
 4  0 866560 2588048   6432 366980    0 313960     0 313960 5771  861 23 22 49  5  0  0
 4  0 239208 3106616   6432 366984    0 12692     0 12692 4689  587 31 20 49  0  0  0
 4  0 445544 2788124   6432 366992    0 206336     0 206336 5203  461 34 17 49  0  0  0
 4  0 860292 2748828   6444 366996    0 433664     4 433936 6264  903 24 24 49  3  0  0
 4  0 239208 2942608   6444 367012    0    0     0     0 4564  594 31 20 49  0  0  0
